null, null, null, null, null, null, 38.00, 8547, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 8547, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 118271, null, null, null, 1, 男士内裤, 200005857, null, null, null, null, null, null, null, null, null, 50.00, 5662, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 5662, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115193, null, null, null, 1, 家用五金工具, 200005422, null, null, null, null, null, null, null, null, null, 5.00, 972, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 972, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115194, null, null, null, 1, 美发工具, 200001615, null, null, null, null, null, null, null, null, null, 5.00, 6687, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 6687, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115195, null, null, null, 1, 家用五金工具, 200005422, null, null, null, null, null, null, null, null, null, 5.00, 986, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 986, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115196, null, null, null, 1, 家电清洁剂, 200001346, null, null, null, null, null, null, null, null, null, 5.00, 989, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 989, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115197, null, null, null, 1, 家用五金工具, 200005422, null, null, null, null, null, null, null, null, null, 5.00, 1052, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 1052, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115198, null, null, null, 1, 厨卫配件, 200005449, null, null, null, null, null, null, null, null, null, 5.00, 539, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 539, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115199, null, null, null, 1, 增氧设备, 400000867, null, null, null, null, null, null, null, null, null, 5.00, 986, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 986, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115200, null, null, null, 1, 增氧设备, 400000867, null, null, null, null, null, null, null, null, null, 48.00, 999, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 999, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115201, null, null, null, 1, 茶杯, 200004979, null, null, null, null, null, null, null, null, null, 5.00, 5535, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 5535, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115202, null, null, null, 1, 洗车工具/用品, 200005302, null, null, null, null, null, null, null, null, null, 23.00, 254, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 254, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115203, null, null, null, 1, 洗车工具/用品, 200005302, null, null, null, null, null, null, null, null, null, 5.00, 884, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 884, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115204, null, null, null, 1, 数码线缆/转换器, 200005557, null, null, null, null, null, null, null, null, null, 5.00, 575, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 575, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115205, null, null, null, 1, 清洁刷, 200001357, null, null, null, null, null, null, null, null, null, 5.00, 206, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 206, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115206, null, null, null, 1, 清洁刷, 200001357, null, null, null, null, null, null, null, null, null, 6.00, 4, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 4, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115207, null, null, null, 1, 身体清洁工具, 200004890, null, null, null, null, null, null, null, null, null, 5.00, 558, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 558, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115208, null, null, null, 1, 其他五金用品, 200005426, null, null, null, null, null, null, null, null, null, 5.00, 8812, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 8812, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115209, null, null, null, 1, 收纳箱盒/收纳篮, 200001647, null, null, null, null, null, null, null, null, null, 5.00, 9982, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 9982, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115210, null, null, null, 1, 礼品包装, 200005319, null, null, null, null, null, null, null, null, null, 5.00, 8888, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 8888, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115211, null, null, null, 1, 抹布/百洁布/钢丝球, 200001637, null, null, null, null, null, null, null, null, null, 5.00, 970, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 970, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115212, null, null, null, 1, 抹布/百洁布/钢丝球, 200001637, null, null, null, null, null, null, null, null, null, 45.00, 997, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 997, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115213, null, null, null, 1, 清洁刷, 200001357, null, null, null, null, null, null, null, null, null, 5.00, 5476, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 5476, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115214, null, null, null, 1, 清洁刷, 200001357, null, null, null, null, null, null, null, null, null, 5.00, 1, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 1, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115215, null, null, null, 1, 礼品包装, 200005319, null, null, null, null, null, null, null, null, null, 5.00, 5555, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 5555, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115216, null, null, null, 1, 家用五金工具, 200005422, null, null, null, null, null, null, null, null, null, 5.00, 998, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 998, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115217, null, null, null, 1, 单据/收据, 200005222, null, null, null, null, null, null, null, null, null, 5.00, 6687, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 6687, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115218, null, null, null, 1, 礼品包装, 200005319, null, null, null, null, null, null, null, null, null, 50.00, 8881, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 8881, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115219, null, null, null, 1, 礼品包装, 200005319, null, null, null, null, null, null, null, null, null, 88.00, 577, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 577, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115220, null, null, null, 1, 礼品包装, 200005319, null, null, null, null, null, null, null, null, null, 5.00, 5586, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 5586, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115221, null, null, null, 1, 多功能/万用清洁剂, 200001343, null, null, null, null, null, null, null, null, null, 5.00, 975, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 975, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115222, null, null, null, 1, 抹布/百洁布/钢丝球, 200001637, null, null, null, null, null, null, null, null, null, 5.00, 2327, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 2327, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115223, null, null, null, 1, 其他生活日用, 200005477, null, null, null, null, null, null, null, null, null, 5.00, 657, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 657, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115224, null, null, null, 1, 家用五金工具, 200005422, null, null, null, null, null, null, null, null, null, 5.00, 987, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 987, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115225, null, null, null, 1, 绘画/DIY/串珠玩具, 900000244, null, null, null, null, null, null, null, null, null, 5.00, 669, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 669, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115226, null, null, null, 1, 牵引绳/胸背带, 200002367, null, null, null, null, null, null, null, null, null, 25.00, 6557, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 6557, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115227, null, null, null, 1, 牵引绳/胸背带, 200002367, null, null, null, null, null, null, null, null, null, 23.00, 6654, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 6654, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115228, null, null, null, 1, 牵引绳/胸背带, 200002367, null, null, null, null, null, null, null, null, null, 20.00, 5586, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 5586, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115229, null, null, null, 1, 牵引绳/胸背带, 200002367, null, null, null, null, null, null, null, null, null, 18.00, 6555, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 6555, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115230, null, null, null, 1, 牵引绳/胸背带, 200002367, null, null, null, null, null, null, null, null, null, 16.00, 6655, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 6655, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115231, null, null, null, 1, 牵引绳/胸背带, 200002367, null, null, null, null, null, null, null, null, null, 13.80, 6553, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 6553, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115232, null, null, null, 1, 牵引绳/胸背带, 200002367, null, null, null, null, null, null, null, null, null, 12.00, 5585, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 5585, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115233, null, null, null, 1, 牵引绳/胸背带, 200002367, null, null, null, null, null, null, null, null, null, 8.00, 5587, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 5587, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115234, null, null, null, 1, 牵引绳/胸背带, 200002367, null, null, null, null, null, null, null, null, null, 5.00, 9887, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 9887, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115235, null, null, null, 1, 手机转换器/OTG, 200001669, null, null, null, null, null, null, null, null, null, 5.00, 6684, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 6684, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115236, null, null, null, 1, 皮件保养品, 200001289, null, null, null, null, null, null, null, null, null, 5.00, 897, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 897, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115237, null, null, null, 1, 厨房收纳/置物架, 200004997, null, null, null, null, null, null, null, null, null, 5.00, 549, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 549, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115238, null, null, null, 1, 电动车零配件, 400001181, null, null, null, null, null, null, null, null, null, 5.00, 999, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 999, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115239, null, null, null, 1, 浴室用品, 200001644, null, null, null, null, null, null, null, null, null, 5.00, 999, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 999, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115240, null, null, null, 1, 抹布/百洁布/钢丝球, 200001637, null, null, null, null, null, null, null, null, null, 5.00, 6664, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 6664, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115241, null, null, null, 1, 水龙头, 200005447, null, null, null, null, null, null, null, null, null, 5.00, 575, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 575, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115242, null, null, null, 1, 家用五金配件, 400000766, null, null, null, null, null, null, null, null, null, 5.00, 5618, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 5618, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115243, null, null, null, 1, 家用五金配件, 400000766, null, null, null, null, null, null, null, null, null, 12.00, 9995, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 9995, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115244, null, null, null, 1, 家用五金配件, 400000766, null, null, null, null, null, null, null, null, null, 10.00, 5500, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 5500, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115245, null, null, null, 1, 家用五金配件, 400000766, null, null, null, null, null, null, null, null, null, 8.00, 6986, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 6986, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115246, null, null, null, 1, 一次性杯子, 200005020, null, null, null, null, null, null, null, null, null, 5.00, 539, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 539, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115247, null, null, null, 1, 美工刀, 200005244, null, null, null, null, null, null, null, null, null, 5.00, 887, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 887, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115248, null, null, null, 1, 蚊帐, 200001621, null, null, null, null, null, null, null, null, null, 5.00, 6665, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 6665, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115249, null, null, null, 1, 蚊帐, 200001621, null, null, null, null, null, null, null, null, null, 18.00, 887, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 887, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115250, null, null, null, 1, 网线, 200005527, null, null, null, null, null, null, null, null, null, 5.00, 6677, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 6677, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115251, null, null, null, 1, 护手霜, 200001329, null, null, null, null, null, null, null, null, null, 5.00, 558, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 558, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115252, null, null, null, 1, 其他家装材料, 200005433, null, null, null, null, null, null, null, null, null, 5.00, 479, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 479, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115253, null, null, null, 1, 其他厨房用具, 200005000, null, null, null, null, null, null, null, null, null, 12.00, 6648, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 6648, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115254, null, null, null, 1, 其他厨房用具, 200005000, null, null, null, null, null, null, null, null, null, 15.00, 6553, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 6553, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115255, null, null, null, 1, 其他厨房用具, 200005000, null, null, null, null, null, null, null, null, null, 5.00, 6648, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 6648, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115256, null, null, null, 1, 烘焙用品, 200004993, null, null, null, null, null, null, null, null, null, 5.00, 6552, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 6552, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115257, null, null, null, 1, 胶水/胶棒, 200005262, null, null, null, null, null, null, null, null, null, 5.00, 5426, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 5426, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 115258, null, null, null, 1, 游戏设备配件, 200005587, null, null, null, null, null, null, null, null, null, 5.00, 5577, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 5577, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
